iter	TotalF1	MultiClass
269	0.8754315295	0.321401449
270	0.8762111859	0.3210302044
271	0.876208532	0.3208555278
272	0.8770821668	0.3206927299
273	0.8765783601	0.3203294616
274	0.8767887971	0.3201497468
275	0.8770313569	0.3195745503
276	0.8770645376	0.3190458385
277	0.8767909642	0.318754938
278	0.8775076828	0.3182782598
279	0.8776544041	0.3181548244
280	0.8776544041	0.3178890469
281	0.8775076828	0.3176852523
282	0.8776772316	0.3174219934
283	0.8776746221	0.3170704812
284	0.8772996648	0.3168278029
285	0.8776318651	0.3165676195
286	0.8776645403	0.3161875027
287	0.8776645403	0.3160756664
288	0.8779327569	0.3158479075
289	0.8781274591	0.315625115
290	0.8780993085	0.3150905572
291	0.8787522567	0.3147606616
292	0.878881551	0.3146193325
293	0.8789295813	0.3144848643
294	0.8788002856	0.3143699008
295	0.8785467136	0.3142276502
296	0.8788229424	0.3139513558
297	0.8792993485	0.3137492335
298	0.8796717275	0.3135874933
299	0.8794410268	0.3133947557
300	0.8794890709	0.3129950235
301	0.8797445817	0.3126710471
302	0.8798585677	0.3124007595
303	0.8801780217	0.3122290677
304	0.8801780217	0.3120997795
305	0.8805074893	0.3117545638
306	0.8807560258	0.3112562582
307	0.8807752077	0.3107732029
308	0.8809375554	0.3103474674
309	0.8813099601	0.3100555283
310	0.8814769772	0.3099148995
311	0.8818747321	0.3097347721
312	0.8819709077	0.3093674654
313	0.8820039884	0.3092113934
314	0.8816212393	0.3090503647
315	0.8820951158	0.3089261576
316	0.8819963841	0.3086365399
317	0.8818998788	0.3084599721
318	0.8824195338	0.3081944968
319	0.8821457035	0.3079000463
320	0.8821457035	0.3076912864
321	0.8822268615	0.3074886072
322	0.8821457035	0.307332069
323	0.8824522888	0.3071074194
324	0.8823050414	0.3069250478
325	0.882429149	0.3068159919
326	0.8822999441	0.3065661566
327	0.8822188041	0.3063419195
328	0.8819753269	0.3061732485
329	0.8830353017	0.3057531439
330	0.8833925832	0.3051887889
331	0.8838463856	0.3049890213
332	0.8836510733	0.3046931717
333	0.8841048931	0.3045328113
334	0.8837321966	0.3041944208
335	0.8845586955	0.3039119669
336	0.8847592251	0.3035852448
337	0.8844347184	0.3033492053
338	0.8848555701	0.3031173172
339	0.884774438	0.3028840639
340	0.8855297532	0.3026207782
341	0.8858802656	0.3023163217
342	0.8862555185	0.3020792063
343	0.8857534079	0.3019079284
344	0.8856545545	0.3016422661
345	0.8859024967	0.3014678953
346	0.8861031478	0.3012189077
347	0.8861513485	0.3008827868
348	0.8861942194	0.3007061076
349	0.8864430382	0.3003410755
350	0.8861666018	0.3000562954
351	0.8863235316	0.2997732186
352	0.886311178	0.2995934012
353	0.8867696032	0.2993843934
354	0.8870335521	0.2991932278
355	0.886774947	0.2990035907
356	0.8867033675	0.2987489179
357	0.886633042	0.2982805947
358	0.8866812177	0.2981314998
359	0.8863081911	0.2979822751
360	0.8866149396	0.2976441304
361	0.8863081911	0.2974992328
362	0.8870691389	0.2971713136
363	0.8872466173	0.2970418124
364	0.8874185911	0.29679411
365	0.8873704102	0.2965786801
366	0.8873759132	0.2964078929
367	0.8876315071	0.2962450495
368	0.8873302885	0.2960160581
369	0.8876551658	0.2959229974
370	0.8881494963	0.2956265259
371	0.8882222505	0.2954103054
372	0.8884259689	0.2951076611
373	0.8884179516	0.2949332051
374	0.8886381845	0.2946476266
375	0.8881173516	0.294521435
376	0.888571643	0.2943541298
377	0.8881655332	0.29411613
378	0.8883241743	0.2939667352
379	0.8886218706	0.2935882515
380	0.888627454	0.2932019214
381	0.8890098117	0.2930577505
382	0.8887658212	0.2927268528
383	0.8890669312	0.2924712489
384	0.889413074	0.2921521123
385	0.8892684187	0.2919962282
386	0.8891873357	0.291734974
387	0.8891391172	0.291540893
388	0.8893494936	0.2911495762
389	0.8895639008	0.2909549726
390	0.8898865312	0.2908321508
391	0.8902599025	0.2905311595
392	0.8902870118	0.2903270957
393	0.8906307574	0.2901283379
394	0.8906790169	0.2899863562
395	0.8908508905	0.2899128412
396	0.8905256742	0.2896017253
397	0.8905467721	0.2894268868
398	0.8910494129	0.2892315708
399	0.8912212687	0.288994358
400	0.8911730139	0.2887367484
401	0.8912157965	0.2885001441
402	0.8917992512	0.2883645288
403	0.8919440801	0.2882285177
404	0.8918229637	0.2880535741
405	0.8917746942	0.2878423134
406	0.8919520753	0.2877263119
407	0.8917421148	0.2875192584
408	0.8920486126	0.287376155
409	0.8918712317	0.2870724641
410	0.8920486126	0.2869664942
411	0.8932314196	0.2867316241
412	0.8934247329	0.2863494588
413	0.893634656	0.2861595567
414	0.8935863258	0.2860587317
415	0.8933360968	0.285813363
416	0.8931830878	0.2855736791
417	0.8934840827	0.2854935618
418	0.893534859	0.2854006209
419	0.89379306	0.2851992266
420	0.8938333631	0.2850508195
421	0.8941555662	0.2847256664
422	0.8944136939	0.2846103349
423	0.8945104058	0.2844689656
424	0.8950131843	0.2842074487
425	0.8947121455	0.2838867027
426	0.8947121455	0.2836850507
427	0.894808868	0.2834833306
428	0.8949862547	0.283379923
429	0.8948572272	0.2830599184
430	0.8947393434	0.2828958375
431	0.8954651967	0.2827227859
432	0.8951097047	0.2824938533
433	0.8953923307	0.2823026141
434	0.8955697443	0.2820869125
435	0.8951636387	0.2819205851
436	0.8955778188	0.2815889107
437	0.8956261968	0.2814987915
438	0.895527001	0.2811891615
439	0.8959019856	0.2809381101
440	0.8962996193	0.2806954001
441	0.896224571	0.2804016383
442	0.8962729511	0.2799730119
443	0.8967834611	0.2796945688
444	0.8971353999	0.2795310032
445	0.8971838108	0.2791453013
446	0.8974258444	0.2790027881
447	0.8976806229	0.2787538871
448	0.8974300853	0.2785454016
449	0.8974784718	0.2782205538
450	0.8974300853	0.2780095088
451	0.8973841503	0.2776099938
452	0.8972608227	0.277523484
453	0.8974647197	0.2772711593
454	0.8972205868	0.2771908567
455	0.8977660884	0.2770785679
456	0.8977660884	0.2769862425
457	0.8979624786	0.276751846
458	0.8980430686	0.2766294746
459	0.8979681657	0.2764252365
460	0.8979946452	0.2763074573
461	0.8981179617	0.2761968395
462	0.8980663165	0.276003128
463	0.8986691849	0.2756971574
464	0.8987119628	0.2755392016
465	0.8986635165	0.2754494669
466	0.8984192718	0.2751966654
467	0.8985161473	0.275084163
468	0.8987660737	0.2748365944
469	0.898742049	0.2746161809
470	0.8990106689	0.2744359435
471	0.89908555	0.2743161646
472	0.8989137996	0.2741866078
473	0.8990371122	0.273969118
474	0.8989459268	0.2738355158
475	0.8988202228	0.2736670275
476	0.8989171011	0.2735781482
477	0.899040394	0.2733359283
478	0.899363481	0.2731065913
479	0.8996321729	0.2729946813
480	0.8996321729	0.2727980653
481	0.8998303069	0.272651547
482	0.8999107624	0.272453984
483	0.8997333673	0.2723331671
484	0.9000284155	0.2721618819
485	0.9002805501	0.2719390869
486	0.9002081453	0.2717564288
487	0.9001333499	0.2715940848
488	0.9005502512	0.2713434124
489	0.9010395932	0.2710627443
490	0.9013178844	0.270791585
491	0.9015237838	0.2705415644
492	0.9014410586	0.27044339
493	0.9010891842	0.2700642481
494	0.901383998	0.2698992216
495	0.9011861253	0.2697450734
496	0.9013235079	0.2696383673
497	0.9012431463	0.2693809394
498	0.9012431463	0.2691322831
499	0.9011946789	0.2690483398
500	0.901269437	0.2689023061
501	0.9013608215	0.268726064
502	0.9014840708	0.2684480561
503	0.9019927275	0.2682839837
504	0.90198717	0.2681868477
505	0.9021215169	0.2680110505
506	0.902341692	0.2678114271
507	0.9023099058	0.267648027
508	0.903010262	0.2675053783
509	0.9027582032	0.2673665082
510	0.9033847001	0.2671649113
511	0.9036358887	0.2669681546
512	0.9036900533	0.2668485949
513	0.9038132948	0.2667395041
514	0.9041885549	0.2666296316
515	0.9041139141	0.2665213966
516	0.9044167327	0.2661986761
517	0.904570901	0.2660692378
518	0.9048228948	0.2658989299
519	0.9048228948	0.2657757383
520	0.9049516903	0.2656665472
521	0.9052289989	0.2655147375
522	0.9051001944	0.2653330461
523	0.9047257097	0.265248364
524	0.9048974673	0.2651342959
525	0.9051001944	0.2649236958
526	0.9053228177	0.2647570837
527	0.9053262257	0.2645851161
528	0.9051572661	0.2643562541
529	0.9052544518	0.26401232
530	0.9056062844	0.26394699
531	0.9057521309	0.2638334723
532	0.9057521309	0.2637050192
